1,Trolley Items
2,Fresh Herbs
3,Herbs & Spices
4,Eggs
5,Pastry
6,Meat
7,Frozen Fruit & Veg
8,Fruit & Veg
9,Pasta
10,"Sauces,Vinegars,Dressings"
11,Tins/Jars/Bottles
12,Dairy
13,Baking Items
14,Equipment
